<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170316,100500,157.8300000,158.6200000,157.8200000,158.4300000,3489910
SBER,5,20170316,101000,158.4700000,159.1500000,158.2500000,159.0400000,3346760
SBER,5,20170316,101500,159.0700000,159.4000000,159.0000000,159.0900000,1668010
SBER,5,20170316,102000,159.0900000,159.4300000,159.0100000,159.3100000,2407340
SBER,5,20170316,102500,159.3400000,159.3800000,159.0000000,159.0400000,2164460
SBER,5,20170316,103000,159.0400000,159.1100000,159.0200000,159.0800000,911380
SBER,5,20170316,103500,159.0800000,159.4000000,159.0700000,159.1000000,847050
SBER,5,20170316,104000,159.0900000,159.2000000,159.0700000,159.1700000,71840
SBER,5,20170316,104500,159.1700000,159.2000000,159.0200000,159.1700000,202360
SBER,5,20170316,105000,159.1500000,159.1500000,159.1000000,159.1100000,169920
SBER,5,20170316,105500,159.1100000,159.3500000,159.1100000,159.2100000,555040
SBER,5,20170316,110000,159.2100000,159.3400000,159.2100000,159.3000000,372320
SBER,5,20170316,110500,159.3100000,159.5500000,159.2100000,159.4500000,1025900
SBER,5,20170316,111000,159.4200000,159.8500000,159.4100000,159.7000000,1737630
SBER,5,20170316,111500,159.7000000,159.7800000,159.5300000,159.6000000,884170
SBER,5,20170316,112000,159.5500000,159.7700000,159.5000000,159.6200000,579930
SBER,5,20170316,112500,159.5700000,159.7500000,159.5000000,159.5700000,615550
SBER,5,20170316,113000,159.5200000,159.5800000,159.0300000,159.0600000,2174970
SBER,5,20170316,113500,159.0600000,159.3000000,159.0500000,159.2800000,399500
SBER,5,20170316,114000,159.2300000,159.2900000,159.0000000,159.0000000,735820
SBER,5,20170316,114500,159.0200000,159.0900000,158.7200000,158.9000000,1917810
SBER,5,20170316,115000,158.8900000,159.1900000,158.8000000,159.0600000,432100
SBER,5,20170316,115500,159.0100000,159.1100000,158.8600000,158.9300000,279800
SBER,5,20170316,120000,158.9300000,159.0000000,158.8100000,158.9900000,217770
SBER,5,20170316,120500,159.0000000,159.0000000,158.8700000,158.9900000,254250
SBER,5,20170316,121000,158.9300000,158.9800000,158.8100000,158.8800000,222510
SBER,5,20170316,121500,158.9000000,158.9300000,158.8000000,158.8200000,492430
SBER,5,20170316,122000,158.8100000,159.0000000,158.8100000,159.0000000,455420
SBER,5,20170316,122500,159.0000000,159.3000000,158.8600000,158.9100000,439100
SBER,5,20170316,123000,158.9200000,159.0500000,158.9000000,158.9700000,122880
SBER,5,20170316,123500,158.9800000,159.0400000,158.9100000,158.9300000,210850
SBER,5,20170316,124000,158.9900000,158.9900000,158.8400000,158.9200000,348920
SBER,5,20170316,124500,158.9200000,159.1300000,158.8700000,159.0900000,159020
SBER,5,20170316,125000,159.0900000,159.2200000,159.0500000,159.2100000,166370
SBER,5,20170316,125500,159.2200000,159.3000000,159.0600000,159.1900000,247790
SBER,5,20170316,130000,159.1900000,159.3700000,159.1600000,159.2800000,576790
SBER,5,20170316,130500,159.2500000,159.2900000,159.1400000,159.2800000,528320
SBER,5,20170316,131000,159.2900000,159.3600000,159.1100000,159.1200000,230010
SBER,5,20170316,131500,159.1200000,159.2200000,158.9300000,158.9300000,249780
SBER,5,20170316,132000,158.9300000,159.1000000,158.9000000,158.9900000,78650
SBER,5,20170316,132500,159.0000000,159.1500000,158.9500000,158.9600000,95050
SBER,5,20170316,133000,159.0100000,159.1300000,159.0100000,159.0500000,56160
SBER,5,20170316,133500,159.0500000,159.1100000,159.0300000,159.0900000,98380
SBER,5,20170316,134000,159.1000000,159.2700000,159.0400000,159.0800000,186000
SBER,5,20170316,134500,159.1400000,159.1800000,158.9600000,159.0100000,390300
SBER,5,20170316,135000,159.0100000,159.0900000,158.8500000,158.8700000,298390
SBER,5,20170316,135500,158.9300000,159.0500000,158.8900000,158.9000000,178430
SBER,5,20170316,140000,158.8900000,158.9900000,158.8900000,158.9900000,298420
SBER,5,20170316,140500,158.9800000,158.9900000,158.9100000,158.9500000,121590
SBER,5,20170316,141000,158.9900000,159.0500000,158.8000000,159.0500000,365570
SBER,5,20170316,141500,159.0400000,159.2000000,158.9100000,158.9100000,334860
SBER,5,20170316,142000,158.9600000,159.0000000,158.8300000,158.8800000,73880
SBER,5,20170316,142500,158.9500000,158.9800000,158.8200000,158.9000000,208700
SBER,5,20170316,143000,158.9500000,159.1200000,158.9000000,159.0800000,125880
SBER,5,20170316,143500,159.1200000,159.1500000,158.9000000,159.1000000,178300
SBER,5,20170316,144000,159.0500000,159.1000000,158.8600000,158.9700000,903470
SBER,5,20170316,144500,158.9700000,158.9900000,158.8500000,158.9100000,38020
SBER,5,20170316,145000,158.8500000,158.9400000,158.8200000,158.9000000,99690
SBER,5,20170316,145500,158.9000000,158.9100000,158.8300000,158.8300000,33440
SBER,5,20170316,150000,158.8700000,158.9000000,158.6000000,158.6200000,1169710
SBER,5,20170316,150500,158.6500000,158.7400000,158.2900000,158.4700000,2761830
SBER,5,20170316,151000,158.4400000,158.5800000,158.3800000,158.4400000,922670
SBER,5,20170316,151500,158.4900000,158.5700000,158.3500000,158.3700000,742100
SBER,5,20170316,152000,158.3900000,158.5000000,158.3000000,158.3200000,1707280
SBER,5,20170316,152500,158.3200000,158.5400000,158.1500000,158.4800000,3269230
SBER,5,20170316,153000,158.4600000,158.5700000,158.3400000,158.4300000,976430
SBER,5,20170316,153500,158.4400000,158.5500000,158.3200000,158.3500000,919080
SBER,5,20170316,154000,158.3500000,158.3800000,158.0800000,158.1200000,1094800
SBER,5,20170316,154500,158.1400000,158.3200000,157.8700000,158.0900000,1777800
SBER,5,20170316,155000,158.1300000,158.3400000,158.1300000,158.2000000,1140440
SBER,5,20170316,155500,158.2500000,158.3400000,158.0000000,158.2300000,1009500
SBER,5,20170316,160000,158.2800000,158.6000000,158.1900000,158.5000000,873190
SBER,5,20170316,160500,158.5500000,158.6000000,158.3600000,158.5100000,711830
SBER,5,20170316,161000,158.5000000,158.5400000,158.4200000,158.4600000,86810
SBER,5,20170316,161500,158.4600000,158.7200000,158.3500000,158.5900000,522080
SBER,5,20170316,162000,158.6000000,158.7400000,158.5300000,158.5300000,93440
SBER,5,20170316,162500,158.5200000,158.7400000,158.4800000,158.6300000,87400
SBER,5,20170316,163000,158.6200000,158.7900000,158.5600000,158.6200000,327500
SBER,5,20170316,163500,158.6700000,158.7600000,158.5200000,158.6300000,89770
SBER,5,20170316,164000,158.6300000,158.6600000,158.5100000,158.5100000,88540
SBER,5,20170316,164500,158.5100000,158.7200000,158.5000000,158.6100000,178090
SBER,5,20170316,165000,158.5800000,158.8400000,158.5000000,158.8100000,178910
SBER,5,20170316,165500,158.8100000,158.8500000,158.7400000,158.7500000,178100
SBER,5,20170316,170000,158.7800000,159.1000000,158.6900000,158.9800000,442920
SBER,5,20170316,170500,158.9700000,159.3900000,158.9600000,159.1900000,754950
SBER,5,20170316,171000,159.2000000,159.2500000,158.7400000,158.8100000,468750
SBER,5,20170316,171500,158.8100000,158.8300000,158.4100000,158.4800000,478220
SBER,5,20170316,172000,158.5000000,158.6000000,158.4000000,158.4000000,338670
SBER,5,20170316,172500,158.4000000,158.4600000,158.0800000,158.2800000,389880
SBER,5,20170316,173000,158.2800000,158.3800000,158.0100000,158.3500000,373040
SBER,5,20170316,173500,158.3500000,158.6600000,158.2000000,158.6600000,703370
SBER,5,20170316,174000,158.6400000,158.6400000,158.3400000,158.4600000,502740
SBER,5,20170316,174500,158.3900000,158.5000000,158.2100000,158.2500000,297070
SBER,5,20170316,175000,158.2500000,158.5000000,158.2500000,158.4100000,622520
SBER,5,20170316,175500,158.4800000,158.5000000,158.4000000,158.4500000,222310
SBER,5,20170316,180000,158.4500000,158.4500000,158.3000000,158.3700000,410540
SBER,5,20170316,180500,158.3900000,158.4500000,158.3000000,158.3700000,499760
SBER,5,20170316,181000,158.3600000,158.4600000,158.3100000,158.4000000,180280
SBER,5,20170316,181500,158.3600000,158.4600000,158.3500000,158.4000000,392530
SBER,5,20170316,182000,158.4400000,158.7200000,158.3800000,158.7000000,427250
SBER,5,20170316,182500,158.6900000,158.9000000,158.6100000,158.8000000,555780
SBER,5,20170316,183000,158.8500000,158.9000000,158.4100000,158.5500000,520680
SBER,5,20170316,183500,158.5200000,158.6700000,158.5000000,158.5800000,478520
SBER,5,20170316,184000,158.6600000,158.8300000,158.5000000,158.7600000,1402730
SBER,5,20170316,185000,158.3500000,158.3500000,158.3500000,158.3500000,765960
SBER,5,20170317,100500,158.5000000,158.5500000,158.1700000,158.2900000,552960
SBER,5,20170317,101000,158.3000000,158.6900000,158.2600000,158.5300000,458600
SBER,5,20170317,101500,158.5700000,158.7300000,158.5000000,158.7000000,493770
SBER,5,20170317,102000,158.7000000,158.7000000,158.4000000,158.4100000,294900
SBER,5,20170317,102500,158.4800000,158.5800000,158.4000000,158.4600000,124510
SBER,5,20170317,103000,158.4800000,158.7000000,158.4000000,158.6800000,312980
SBER,5,20170317,103500,158.6900000,158.6900000,158.5100000,158.5800000,120160
SBER,5,20170317,104000,158.5600000,158.6900000,158.5000000,158.6400000,119130
SBER,5,20170317,104500,158.6400000,158.7000000,158.5700000,158.7000000,390500
SBER,5,20170317,105000,158.6900000,159.1000000,158.6400000,158.9900000,1122420
SBER,5,20170317,105500,158.9900000,159.2400000,158.9000000,159.1000000,437860
SBER,5,20170317,110000,159.1000000,159.2000000,158.6000000,158.7600000,340760
SBER,5,20170317,110500,158.7200000,158.9100000,158.4000000,158.5600000,536080
SBER,5,20170317,111000,158.5900000,158.6300000,158.4000000,158.4800000,598630
SBER,5,20170317,111500,158.4500000,158.6900000,158.4000000,158.6900000,372680
SBER,5,20170317,112000,158.6100000,158.8700000,158.5300000,158.8700000,309910
SBER,5,20170317,112500,158.8100000,158.8500000,158.5700000,158.7100000,159860
